"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 28 17:44:45 CST 2021","Thu Jan 28 17:44:45 CST 2021","63","test_case","test_api","TestCase","","","创建桌面组","创建桌面组"
"passed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","55","test_case","test_api","TestCase","","","获取安全组信息列表（有修改）","获取安全组信息列表（无分页）。"
"passed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","36","test_case","test_api","TestCase","","","查询镜像列表","查询镜像列表"
"passed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","110","test_case","test_api","TestCase","","","查询网络列表","查询网络列表接口"
"failed","Thu Jan 28 17:44:45 CST 2021","Thu Jan 28 17:44:45 CST 2021","144","test_case","test_api","TestCase","","","修改桌面组","修改桌面组"
"passed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","68","test_case","test_api","TestCase","","","获取桌面组可用资源","获取桌面组可用资源"
"passed","Thu Jan 28 17:44:45 CST 2021","Thu Jan 28 17:44:45 CST 2021","46","test_case","test_api","TestCase","","","根据id获取桌面组","根据id获取桌面组"
"passed","Thu Jan 28 17:44:45 CST 2021","Thu Jan 28 17:44:45 CST 2021","143","test_case","test_api","TestCase","","","获取全部桌面组信息","获取全部桌面组信息"
"passed","Thu Jan 28 17:44:45 CST 2021","Thu Jan 28 17:44:45 CST 2021","47","test_case","test_api","TestCase","","","获取桌面组列表","获取桌面组列表"
"failed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","94","test_case","test_api","TestCase","","","创建用户","创建用户"
"passed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","66","test_case","test_api","TestCase","","","获取桌面组可用资源","获取桌面组可用资源"
"passed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","63","test_case","test_api","TestCase","","","获取系统和桌面组的剩余授权点数","获取系统和桌面组的剩余授权点数"
"passed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","62","test_case","test_api","TestCase","","","获取全部用户或桌面组中的用户","获取全部用户或桌面组中的用户"
"failed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","105","test_case","test_api","TestCase","","","创建云桌面","创建云桌面"
"passed","Thu Jan 28 17:44:46 CST 2021","Thu Jan 28 17:44:46 CST 2021","109","test_case","test_api","TestCase","","","根据用户角色返回系统或桌面组的剩余授权点数","根据用户角色返回系统或桌面组的剩余授权点数"
